diff_h_l_0;diff_o_c_0;diff_h_o_0;diff_c_l_0;vol_total_0;vol_buy_0;vol_sell_0;vol_other_0;nb_tick_total_0;nb_tick_buy_0;nb_tick_sell_0;nb_tick_other_0;nb_price_changed_0;nb_tick_buy_vol_eq_1;nb_tick_sell_vol_eq_1;nb_tick_other_vol_eq_1;nb_tick_buy_vol_2_5;nb_tick_sell_vol_2_5;nb_tick_other_vol_2_5diff_open_low_m1;nb_tick_other_vol_2_5;diff_open_low_m1
3.75;2.5;0.0;1.25;1605.0;560.0;680.0;397.0;1119.0;397.0;458.0;274.0;256.0;275.0;336.0;184.0;119.0;116.0;;88.0;0.0
38.25;12.75;23.0;2.5;12625.0;4578.0;4047.0;4113.0;8659.0;3108.0;2895.0;2738.0;1923.0;2186.0;2045.0;1964.0;911.0;834.0;;761.0;0.75
2.75;2.0;0.5;0.25;2860.0;971.0;1342.0;547.0;1356.0;497.0;625.0;234.0;148.0;305.0;391.0;102.0;161.0;197.0;;113.0;1.0
1.5;0.75;0.5;0.25;1713.0;516.0;936.0;271.0;913.0;270.0;513.0;136.0;94.0;166.0;326.0;79.0;90.0;158.0;;48.0;0.5
2.5;1.5;0.75;0.25;2706.0;721.0;1496.0;491.0;1346.0;331.0;800.0;217.0;140.0;172.0;514.0;91.0;128.0;241.0;;107.0;1.5
21.75;21.5;0.0;0.25;22488.0;6926.0;9568.0;6244.0;19894.0;6093.0;8430.0;5618.0;3438.0;5796.0;7942.0;5362.0;277.0;462.0;;245.0;0.25
13.0;6.75;1.5;4.75;14546.0;4688.0;5782.0;4220.0;12564.0;3893.0;5034.0;3765.0;2163.0;3694.0;4763.0;3602.0;168.0;252.0;;126.0;4.0
6.5;5.75;0.0;0.75;8160.0;2989.0;3644.0;1583.0;6661.0;2300.0;3089.0;1314.0;821.0;1899.0;2722.0;1118.0;379.0;354.0;;188.0;1.5
5.5;5.0;0.0;0.5;5033.0;1580.0;2321.0;1177.0;4227.0;1312.0;1935.0;1019.0;489.0;1116.0;1678.0;890.0;194.0;250.0;;129.0;1.25
3.75;1.25;2.5;0.0;5999.0;2323.0;2313.0;1399.0;4462.0;1744.0;1700.0;1048.0;416.0;1307.0;1247.0;803.0;426.0;441.0;;237.0;6.0
7.5;5.25;1.75;0.5;7753.0;2620.0;3727.0;1457.0;5673.0;1862.0;2798.0;1052.0;622.0;1313.0;2158.0;738.0;540.0;620.0;;309.0;6.5
7.75;3.0;1.25;3.5;9063.0;3568.0;3644.0;1925.0;6345.0;2362.0;2613.0;1422.0;741.0;1571.0;1874.0;999.0;775.0;712.0;;419.0;5.5
6.75;5.5;1.25;0.0;6315.0;2223.0;2772.0;1367.0;4771.0;1686.0;2048.0;1072.0;570.0;1220.0;1508.0;801.0;461.0;526.0;;270.0;4.75
4.75;3.75;0.0;1.0;9444.0;3374.0;4087.0;2061.0;6894.0;2526.0;2965.0;1457.0;839.0;1791.0;2061.0;969.0;728.0;891.0;;480.0;0.75
5.5;1.75;3.0;0.75;4902.0;1578.0;2112.0;1259.0;3984.0;1322.0;1704.0;1000.0;498.0;1109.0;1410.0;805.0;212.0;288.0;;192.0;0.25
7.5;5.25;0.0;2.25;7397.0;2349.0;3150.0;1975.0;5922.0;1886.0;2428.0;1677.0;750.0;1499.0;2024.0;1403.0;383.0;397.0;;273.0;3.25
5.75;5.25;0.0;0.5;6437.0;2204.0;3020.0;1255.0;4955.0;1735.0;2266.0;992.0;576.0;1402.0;1797.0;789.0;324.0;447.0;;197.0;1.0
3.25;0.75;2.0;0.5;4278.0;1548.0;1710.0;1068.0;3218.0;1168.0;1249.0;838.0;317.0;874.0;897.0;631.0;291.0;344.0;;207.0;2.0
6.0;2.75;0.5;2.75;10301.0;3592.0;4907.0;1899.0;6624.0;2422.0;3057.0;1204.0;728.0;1503.0;1837.0;719.0;908.0;1195.0;;476.0;2.0
3.75;0.75;0.0;3.0;8246.0;3009.0;3604.0;1682.0;4696.0;1695.0;2128.0;896.0;453.0;1035.0;1412.0;505.0;597.0;660.0;;352.0;1.5
5.5;4.5;0.5;0.5;6559.0;1845.0;3339.0;1457.0;3537.0;914.0;1916.0;741.0;328.0;464.0;1259.0;410.0;404.0;585.0;;297.0;2.0
10.5;7.75;0.0;2.75;13337.0;4106.0;6820.0;2508.0;6920.0;2107.0;3591.0;1263.0;671.0;1164.0;2228.0;725.0;847.0;1196.0;;461.0;4.5
6.5;4.0;0.5;2.0;9093.0;3122.0;4068.0;1974.0;4917.0;1653.0;2238.0;1059.0;486.0;951.0;1367.0;603.0;624.0;783.0;;409.0;1.75
10.25;7.75;0.25;2.25;12516.0;4076.0;6115.0;2389.0;6732.0;2044.0;3480.0;1238.0;749.0;1064.0;2223.0;689.0;873.0;1150.0;;483.0;1.0
5.25;4.5;0.5;0.25;7340.0;1942.0;3769.0;1670.0;3871.0;1005.0;2093.0;793.0;376.0;556.0;1320.0;407.0;404.0;687.0;;346.0;1.25
